CostFunc,BatchSize,MaxIt,NPop,Beta,PC,Mu,Sigma,BestSol1,BestSol2,BestSol3,BestSol4,BestSol5,AllCost,AvgCost
l2_loss,512,1000,70,0,1,0.2,[0.1 2.  0.1 2.  0.1 0.1 2.  0.1],"[1.14162360e-01 4.50708907e+01 1.00000000e+00 4.05008593e+01
 5.35693933e-01 6.74187727e-03 8.15913982e+00 4.00000000e+00]","[1.23069657e-01 4.22480098e+01 9.99999734e-01 4.03275038e+01
 4.73211649e-01 4.73714259e-03 8.45380796e+00 4.00000000e+00]","[1.23046671e-01 4.50527517e+01 1.00000000e+00 4.05242345e+01
 5.35754011e-01 6.74004902e-03 8.30316049e+00 4.00000000e+00]","[1.23094160e-01 4.27524477e+01 1.00000000e+00 4.03677916e+01
 5.33795476e-01 6.69843720e-03 1.23299611e+01 4.00000000e+00]","[1.23173544e-01 4.30574054e+01 1.00000000e+00 4.04812801e+01
 5.35776265e-01 2.90696293e-03 8.32477325e+00 4.00000000e+00]","[0.001158149846458487, 0.0012014794869861217, 0.0012565811855882213, 0.0013081789779857255, 0.0014611815615651492]",0.002380811932617756
l2_loss,512,1000,70,0,1,0.2,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[5.64862818e-01 1.59750886e+01 7.02899635e-01 7.51032298e+01
 4.56964768e-01 1.22231813e-01 1.01055578e-03 4.00000000e+00]","[ 0.63331013 15.39193247  0.56132354 73.78786157  0.56313743  0.12223767
  0.          4.        ]","[ 0.63820216 15.39733566  0.63130015 74.66559328  0.56305672  0.12223767
  0.          4.        ]","[6.57074935e-01 1.54073606e+01 4.59507199e-01 8.10668018e+01
 5.76646362e-01 1.22232196e-01 3.08995231e-02 4.00000000e+00]","[ 0.6369301  15.36046601  0.48785015 72.81349657  0.55660849  0.12223756
  0.          4.        ]","[0.018503350943109936, 0.018544960640289074, 0.018879668491267654, 0.018895150978414446, 0.019248231061323826]",0.025303195397927927
l2_loss,512,1000,70,0,1,0.2,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[-4.13835008e-01  8.74246903e+01 -3.11320647e-02  8.86888995e+01
  1.00000000e+00  5.68613206e-02  2.34831068e+01  4.00000000e+00]","[-4.13846274e-01  8.74766193e+01 -3.11320647e-02  8.86882711e+01
  9.88749088e-01  5.68649232e-02  2.34810124e+01  4.00000000e+00]","[-4.13841187e-01  8.74209394e+01 -3.11320647e-02  8.87032330e+01
  9.99999992e-01  5.68633747e-02  2.34707305e+01  4.00000000e+00]","[-4.13868367e-01  8.74029559e+01 -3.11320647e-02  8.86927519e+01
  9.99999947e-01  5.68633774e-02  2.34633609e+01  4.00000000e+00]","[-4.13837934e-01  8.74145439e+01 -3.11320647e-02  8.86917171e+01
  1.00000000e+00  5.68612399e-02  2.34910583e+01  4.00000000e+00]","[0.0013215207744528006, 0.0013504452424114074, 0.0014656727564179703, 0.001492208221018095, 0.0014957336552578842]",0.00816394083354943
l2_loss,512,1000,70,0,1,0.4,[0.1 2.  0.1 2.  0.1 0.1 2.  0.1],"[ 3.40878673e-01  3.88918457e+01  4.88876819e-01  4.64240737e+01
  1.00000000e+00 -1.44602764e-03  5.26864843e+01  4.00000000e+00]","[ 3.45260839e-01  3.78642238e+01  4.52278341e-01  3.92577009e+01
  1.00000000e+00 -1.63804512e-03  5.23082892e+01  4.00000000e+00]","[ 3.81067964e-01  3.68337444e+01  6.15531081e-01  3.91755338e+01
  1.00000000e+00 -1.63691045e-03  5.40353330e+01  4.00000000e+00]","[ 3.33291126e-01  3.88425328e+01  5.92063078e-01  4.74027773e+01
  9.99970828e-01 -1.44610548e-03  5.13399752e+01  4.00000000e+00]","[ 3.26989639e-01  3.89001504e+01  5.99817337e-01  4.40391003e+01
  9.99973877e-01 -1.44598371e-03  5.26776810e+01  4.00000000e+00]","[0.002033287172921284, 0.0023330334816380016, 0.0023372637251405978, 0.002338248518750874, 0.0024809088880401]",0.0035314109593723416
l2_loss,512,1000,70,0,1,0.4,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[ 4.68116520e-01  2.45949069e+01  1.05305634e-01  2.49751287e+01
  1.00000000e+00 -2.47829903e-03  5.53759501e+01  4.00000000e+00]","[ 3.50706037e-01  2.43447693e+01  1.05308537e-01  2.48911173e+01
  7.23340232e-01 -2.47958303e-03  5.48540676e+01  4.00000000e+00]","[ 4.68124335e-01  2.45920463e+01  1.05300411e-01  2.49750534e+01
  1.00000000e+00 -2.47829973e-03  5.53719555e+01  4.00000000e+00]","[ 5.02308126e-01  2.41721231e+01  1.05312483e-01  2.48940459e+01
  9.99999996e-01 -2.47739909e-03  5.53945792e+01  4.00000000e+00]","[ 4.57819386e-01  2.40331224e+01  1.05310274e-01  2.48940133e+01
  9.41758330e-01 -2.48050846e-03  5.44330057e+01  4.00000000e+00]","[0.001019416489467598, 0.001190610829523684, 0.0013745358866045995, 0.001435407285953884, 0.001458240433263999]",0.002263360599912304
l2_loss,512,1000,70,0,1,0.4,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[1.20087769e-02 5.05255598e+01 1.45650257e-01 5.04247983e+01
 1.08819361e-01 7.28778469e-03 8.26726078e+01 4.00000000e+00]","[1.20087769e-02 5.05241342e+01 1.45657437e-01 5.04247974e+01
 1.08819038e-01 7.28778469e-03 8.26726085e+01 4.00000000e+00]","[1.20087769e-02 5.06870290e+01 1.94885249e-01 5.04247986e+01
 1.08475498e-01 7.54227321e-03 8.28792325e+01 4.00000000e+00]","[1.20087766e-02 5.06870292e+01 1.94889350e-01 5.04246713e+01
 1.08470527e-01 7.28813264e-03 8.27991627e+01 4.00000000e+00]","[1.20087769e-02 5.06870291e+01 1.94885246e-01 5.04247999e+01
 1.08475693e-01 7.54259340e-03 8.36539672e+01 4.00000000e+00]","[0.0002240008945632124, 0.0002308472148684145, 0.00026180791958545175, 0.0002672254584007042, 0.00026853326848898983]",0.0018452587544611865
l2_loss,512,1000,70,0,1,0.8,[0.1 2.  0.1 2.  0.1 0.1 2.  0.1],"[1.75773666e-02 1.68602974e+01 5.36879690e-02 1.63532678e+01
 5.64074666e-02 1.11938979e-02 1.65678634e+01 4.00000000e+00]","[2.45923204e-02 1.71122096e+01 6.87763513e-02 1.79975720e+01
 6.62253346e-02 7.53017648e-03 1.41849766e+01 4.00000000e+00]","[2.56171278e-02 1.52194202e+01 6.74322464e-02 1.58610710e+01
 7.30256078e-02 6.21214569e-03 1.87610702e+01 4.00000000e+00]","[1.87730408e-02 1.59764793e+01 5.36875993e-02 1.61078688e+01
 5.64739387e-02 1.11969184e-02 1.54044014e+01 4.00000000e+00]","[2.27142850e-02 1.60754101e+01 6.75161230e-02 1.63989322e+01
 6.55646012e-02 2.79325685e-03 1.95154067e+01 4.00000000e+00]","[0.000589106556496261, 0.0006020578321435171, 0.0006431867837751881, 0.0006480697149855782, 0.0006536811488253528]",0.0025642830426673515
l2_loss,512,1000,70,0,1,0.8,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[9.18233690e-03 6.55603179e+01 9.58855541e-01 5.76149954e+01
 1.32296971e-01 1.45971829e-02 5.25476828e+01 4.00000000e+00]","[8.67723925e-03 6.50237517e+01 9.50920614e-01 6.22726362e+01
 1.16474990e-01 1.47937119e-02 4.86644711e+01 4.00000000e+00]","[9.18206901e-03 6.38701999e+01 9.43373516e-01 6.67592806e+01
 1.25794164e-01 1.45975980e-02 5.10601742e+01 4.00000000e+00]","[9.18389824e-03 6.47613979e+01 7.58782253e-01 5.90064065e+01
 1.32045323e-01 1.42704057e-02 5.26328004e+01 4.00000000e+00]","[9.18237760e-03 6.51093642e+01 9.86321923e-01 5.20401147e+01
 1.32299668e-01 1.45968007e-02 5.17745957e+01 4.00000000e+00]","[5.777985227455954e-05, 5.89810854468603e-05, 6.240482901880401e-05, 6.280699050171675e-05, 6.530621482984029e-05]",0.0016712802781972348
l2_loss,512,1000,70,0,1,0.8,[0.3 6.  0.3 6.  0.3 0.3 6.  0.3],"[7.75357998e-03 7.18237646e+01 1.00000000e+00 6.25973941e+01
 3.58006632e-01 1.83926852e-02 9.98890579e+01 4.00000000e+00]","[7.75301111e-03 7.36978634e+01 1.00000000e+00 6.47201938e+01
 3.78355651e-01 1.83939880e-02 1.00000000e+02 4.00000000e+00]","[7.75300500e-03 7.48040109e+01 1.00000000e+00 7.10385783e+01
 3.83029972e-01 1.83940198e-02 9.99734070e+01 4.00000000e+00]","[7.75301102e-03 7.36959373e+01 1.00000000e+00 6.45423411e+01
 3.76962104e-01 1.83939879e-02 1.00000000e+02 4.00000000e+00]","[7.75247808e-03 7.09459450e+01 1.00000000e+00 6.21385242e+01
 3.64070339e-01 1.85780182e-02 1.00000000e+02 4.00000000e+00]","[0.00010094740334496236, 0.0001247963633549365, 0.0001294214015189295, 0.0001314394350673053, 0.00014060560718487792]",0.0038114458522518586
l2_loss,512,1000,70,0,2,0.2,[0.1 2.  0.1 2.  0.1 0.1 2.  0.1],"[5.46758259e-02 7.94351593e+01 2.50669977e-01 9.76730574e+01
 7.78867116e-01 1.97178080e-02 2.62922517e+01 4.00000000e+00]","[5.46775458e-02 7.94362421e+01 2.50678013e-01 9.76574282e+01
 7.78912009e-01 1.97177258e-02 2.66920477e+01 4.00000000e+00]","[5.56110056e-02 7.77684752e+01 3.98071416e-01 9.76943862e+01
 7.69664594e-01 1.83613183e-02 2.53732516e+01 4.00000000e+00]","[5.55775197e-02 8.01989592e+01 2.47699020e-01 9.86294484e+01
 8.95001086e-01 2.05218962e-02 2.93497227e+01 4.00000000e+00]","[5.04095736e-02 7.98251391e+01 2.19929086e-01 9.95768354e+01
 7.47573360e-01 1.97219389e-02 2.63971476e+01 4.00000000e+00]","[0.0005185349843942195, 0.0005492293416000084, 0.000642163813632504, 0.0006684086893036866, 0.0006843583210644956]",0.002354550112344025
l2_loss,512,1000,70,0,2,0.2,[0.2 4.  0.2 4.  0.2 0.2 4.  0.2],"[1.73803918e-02 5.80396379e+01 2.10000398e-01 5.45751357e+01
 1.64058734e-01 1.18004012e-02 3.81597738e+01 4.00000000e+00]","[1.73900802e-02 5.66851987e+01 1.56777892e-01 5.46247535e+01
 1.64166822e-01 1.18003978e-02 4.16290991e+01 4.00000000e+00]","[1.74200208e-02 5.55573336e+01 1.60849597e-01 5.36451714e+01
 1.58781370e-01 1.18004010e-02 4.01475874e+01 4.00000000e+00]","[1.74216978e-02 5.61418709e+01 1.59710355e-01 5.48551856e+01
 1.58797284e-01 1.18004004e-02 4.12863380e+01 4.00000000e+00]","[1.74200627e-02 5.61463099e+01 1.68220878e-01 5.45979473e+01
 1.58793594e-01 1.18004000e-02 4.12638870e+01 4.00000000e+00]","[0.0001462890668260637, 0.0002874259131187568, 0.00030201223105337315, 0.00030939996436098074, 0.00031785429571921274]",0.000908407262640008
